chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	cds_matched_frame_score	cds_max_frame_score	cds_start_region_score	cds_window_max_score	cds_phylop_mean	cds_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends	cds_block_starts	cds_block_ends
1	23793717	23794732	ENST00000374501	507	+	23793717	23794732	0	6	35,71,74,102,174,51	0,142,345,506,709,964	ENST00000374501	1015	+	LYPLA2	1	23793729	16.902750253677368	16.902750253677368			7.056916477779548	1	12	-26.008030670422773	-15.888753843307494	-25.349599838256836	-22.341999673843382	1.594538451043459	2	65	-18.111018152324238	1.6996788819630941	15.721199989318848	9.320833412806193	6.433402006768367	495	1:23793717-23793729	[23793717]	[23793729]	[23793652]	[23793717]	[23793729, 23793859, 23794062, 23794223, 23794426, 23794681]	[23793752, 23793930, 23794136, 23794325, 23794600, 23794732]
1	61332516	61455320	ENST00000657234	900	+	61332516	61455320	0	8	70,118,128,129,179,166,92,18	0,19933,26630,50720,71587,74045,93948,122786	ENST00000657234	122804	+	NFIA	1	61352517	12.009884152723396	12.009884152723396	7.735399937629699	16.068800258636475	7.421789902869774	1	138	-21.822893837204685	-18.850370303385052	-28.44579944610596	0.7545999988913537	2.2927777921838435	1	405	4.496854335876313	4.496854335876313	22.18400001525879	36.98939981460571	7.357846449461724	762	1:61332516-61352517	[61332516, 61352449]	[61332586, 61352517]	[61275141, 61277150, 61277519, 61332511, 61352449]	[61275332, 61277293, 61277585, 61332516, 61352449]	[61352517, 61359146, 61383236, 61404103, 61406561, 61426464, 61455302]	[61352567, 61359274, 61383365, 61404282, 61406727, 61426556, 61455320]
1	63629433	63659675	ENST00000540265	1434	+	63629433	63659675	0	10	154,147,126,191,155,116,136,184,135,90	0,508,2223,5395,6800,9251,19083,22235,24898,30152	ENST00000540265	30242	+	PGM1	1	63631691	14.59851801200282	14.59851801200282	22.463000297546387	29.850900077819823	6.13063390022996	1	336	-17.45342487663822	-17.45342487663822	-33.26060123443604	2.1841002464294434	-0.17006957139684886	1	345	-3.664781435506456	-3.664781435506456	-16.104733022054038	52.90409927368164	5.685556459233617	1098	1:63629433-63631691	[63629433, 63629941, 63631656]	[63629587, 63630088, 63631691]	[63593808, 63629424, 63631656]	[63594144, 63629433, 63631656]	[63631691, 63634828, 63636233, 63638684, 63648516, 63651668, 63654331, 63659585]	[63631782, 63635019, 63636388, 63638800, 63648652, 63651852, 63654466, 63659675]
1	77535861	77558670	ENST00000478255	246	+	77535861	77558670	0	2	177,69	0,22740	ENST00000478255	22809	+	AK5	1	77535873	25.30625009536743	25.30625009536743			5.838666550815105	1	12	-7.699808200540608	-7.699808200540608	NaN	NaN	0.10219276698687708	1	249	16.184371678875042	16.184371678875042	25.55679988861084	37.18529939651489	3.405816223603697	234	1:77535861-77535873	[77535861]	[77535873]	[77532106, 77535846]	[77532340, 77535861]	[77535873, 77558601]	[77536038, 77558670]
1	151024644	151034234	ENST00000368936	993	+	151024644	151034234	0	5	151,159,95,159,429	0,870,2588,4141,9161	ENST00000368936	9590	+	PRUNE1	1	151025540	13.314276748962994	13.314276748962994	27.88579902648926	27.950900077819824	4.744011329929608	1	177	-17.923579605416222	-9.342637628016856	-25.815199851989746	11.679699909687042	3.2988255086320533	3	316	-22.82533083485403	1.2225294034635903	-15.143799972534179	-8.448600101470948	3.6945588178113766	816	1:151024644-151025540	[151024644, 151025514]	[151024795, 151025540]	[151008482, 151017811, 151024610, 151025514]	[151008671, 151017904, 151024644, 151025514]	[151025540, 151027232, 151028785, 151033805]	[151025673, 151027327, 151028944, 151034234]
1	158076153	158095120	ENST00000360089	1872	+	158076153	158095120	0	12	109,150,106,149,128,127,101,199,108,140,78,477	0,1837,11601,11852,12173,13348,13564,15204,17185,17469,18159,18490	ENST00000360089	18967	+	KIRREL1	1	158076243	24.97679987748464	24.97679987748464	24.138199615478516	30.951899909973143	5.850455650107728	1	90	-6.160132919565788	-5.4102357351864745	2.440200036764145	25.00399966239929	2.39985146529088	1	501	-1.5949747967047723	-1.5949747967047723	14.38300006389618	44.74849977493286	5.607402924267684	1782	1:158076153-158076243	[158076153]	[158076243]	[157993272, 158076112]	[157993732, 158076153]	[158076243, 158077990, 158087754, 158088005, 158088326, 158089501, 158089717, 158091357, 158093338, 158093622, 158094312, 158094643]	[158076262, 158078140, 158087860, 158088154, 158088454, 158089628, 158089818, 158091556, 158093446, 158093762, 158094390, 158095120]
1	169111407	169131555	ENST00000686702	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000686702	20148	+	ATP1B1	1	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-15.18845611985992	19.095441208166235	-2.1999999324480695	-9.911799985170365	6.567470595240593	2	68	-5.91215191264787	1.8371317712890525	11.401399660110474	34.782699775695804	4.982381726515301	744	1:169111407-169111440	[169111407]	[169111440]	[169106895, 169111374]	[169106930, 169111407]	[169111440, 169124883, 169127223, 169130009, 169131291]	[169111498, 169125039, 169127408, 169130090, 169131555]
1	169111407	169131555	ENST00000685155	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000685155	20148	+	ATP1B1	1	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-15.42965899904569	-15.42965899904569	-40.63879995346069	24.087100172042845	1.78429543735657	1	132	-5.91215191264787	1.8371317712890525	11.401399660110474	34.782699775695804	4.982381726515301	744	1:169111407-169111440	[169111407]	[169111440]	[169107090, 169111369]	[169107184, 169111407]	[169111440, 169124883, 169127223, 169130009, 169131291]	[169111498, 169125039, 169127408, 169130090, 169131555]
1	169111407	169131555	ENST00000685792	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000685792	20148	+	ATP1B1	1	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-25.40201024277782	-16.80035703218713	-11.260133202870687	-15.080499982833862	1.836005104282795	3	196	-5.91215191264787	1.8371317712890525	11.401399660110474	34.782699775695804	4.982381726515301	744	1:169111407-169111440	[169111407]	[169111440]	[169107595, 169111369]	[169107753, 169111407]	[169111440, 169124883, 169127223, 169130009, 169131291]	[169111498, 169125039, 169127408, 169130090, 169131555]
1	169111407	169131555	ENST00000691753	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000691753	20148	+	ATP1B1	1	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-18.128869264974043	-16.68913852830346	-15.54099988937378	-0.8961998701095581	2.4205653737478245	2	260	-5.91215191264787	1.8371317712890525	11.401399660110474	34.782699775695804	4.982381726515301	744	1:169111407-169111440	[169111407]	[169111440]	[169107888, 169111369]	[169108110, 169111407]	[169111440, 169124883, 169127223, 169130009, 169131291]	[169111498, 169125039, 169127408, 169130090, 169131555]
