chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_cds	gene_name	cds_frame	cds_end_pos	matched_frame_score	max_frame_score	start_region_score	window_max_score	phylop_mean	extension_frame	extension_length	genome_coords
1	1233268	1233487	ENST00000379198_1	219	+	1233268	1233487	0	1	219	0	ENST00000379198	219	+	B3GALT6	0	1233265	-25.396803657213848	-21.587219172961092	-10.111866601308186	-8.079700040817261	-1.7423380881991415	1	219	1:1233268-1233487
1	1534072	1534258	ENST00000378756_1	186	+	1534072	1534258	0	1	186	0	ENST00000378756	186	+	ATAD3A	0	1534069	-22.40556457222149	-19.107575270837994	-35.20493241548538	-12.426500046253205	-1.3401827928697772	1	186	1:1534072-1534258
1	6621637	6621790	ENST00000377648_1	153	+	6621637	6621790	0	1	153	0	ENST00000377648	153	+	PHF13	0	6621634	-20.25339224058039	-14.597823639126386	-36.78973306020101	-9.998500192165375	2.6625555756142716	1	153	1:6621637-6621790
1	7779645	7779765	ENST00000054666_1	120	+	7779645	7779765	0	1	120	0	ENST00000054666	120	+	VAMP3	0	7779642	-18.328000128269196	-16.89349171320597	-19.957799768447877	-7.282499980926514	1.7725083383110662	1	120	1:7779645-7779765
1	7985054	7985096	ENST00000338639_1	42	+	7985054	7985096	0	1	42	0	ENST00000338639	42	+	PARK7	0	7985051	-22.66054742960703	-17.647809711240587	-9.400599765777589	-23.781166378657023	-0.7305476267910784	1	42	1:7985054-7985096
1	11022654	11022708	ENST00000240185_1	54	+	11022654	11022708	0	1	54	0	ENST00000240185	54	+	TARDBP	0	11022651	-16.50577800307009	-16.50577800307009	-24.438200283050538	-11.601600217819215	2.4676481357741133	1	54	1:11022654-11022708
1	12011565	12011682	ENST00000235329_1	117	+	12011565	12011682	0	1	117	0	ENST00000235329	117	+	MFN2	0	12011562	-7.63633329134721	-7.63633329134721	1.3392000198364258	2.7364000558853148	-0.3074615524054911	1	117	1:12011565-12011682
1	15428724	15428799	ENST00000375980_1	75	+	15428724	15428799	0	1	75	0	ENST00000375980	75	+	EFHD2	0	15428721	-31.073079830110075	-20.776146593093873	-33.721799755096434	-24.226299786567687	-0.8168666582306227	1	75	1:15428724-15428799
1	15656633	15656642	ENST00000480945_1	9	+	15656633	15656642	0	1	9	0	ENST00000480945	9	+	DDI2	0	15656630	-1.2260000970628526	2.3349998792012534	-1.2260000970628526		9.096333291795519	1	9	1:15656633-15656642
1	19328643	19328658	ENST00000375153_1	15	+	19328643	19328658	0	1	15	0	ENST00000375153	15	+	SLC66A1	0	19328640	-6.300200271606445	-6.300200271606445	-6.300200271606445		-0.836333337922891	1	15	1:19328643-19328658
1	22091517	22091589	ENST00000656825_1	72	+	22091517	22091589	0	1	72	0	ENST00000656825	72	+	CDC42	0	22091514	-4.510624932746093	-2.5076528439919152	2.7542000889778135	-1.1598999202251434	6.410291635327869	1	72	1:22091517-22091589
1	23787376	23787415	ENST00000246151_1	39	+	23787376	23787415	0	1	39	0	ENST00000246151	39	+	PITHD1	0	23787373	-15.129538545241722	-13.494615195175776	-12.974333377679189	-13.162400203943253	1.8476153694045467	1	39	1:23787376-23787415
1	24840937	24841015	ENST00000374379_1	78	+	24840937	24841015	0	1	78	0	ENST00000374379	78	+	CLIC4	0	24840934	-21.989999688588657	-20.855076909065247	-54.357865524291995	-9.17070004940033	1.4266025722504427	1	78	1:24840937-24841015
1	25360705	25360906	ENST00000374358_1	201	+	25360705	25360906	0	1	201	0	ENST00000374358	201	+	TMEM50A	0	25360702	-16.689741281727652	-16.689741281727652	-10.826866761843364	-6.1596999883651735	0.8848407935323332	1	201	1:25360705-25360906
1	26170716	26170761	ENST00000374266_1	45	+	26170716	26170761	0	1	45	0	ENST00000374266	45	+	ZNF593	0	26170713	-21.57519992192586	-21.57519992192586	-31.586799812316894	-16.569399976730345	1.2512000010245377	1	45	1:26170716-26170761
1	26281123	26281231	ENST00000270792_1	108	+	26281123	26281231	0	1	108	0	ENST00000270792	108	+	SH3BGRL3	0	26281120	-17.703203665092587	-15.546472330888113	-13.856667057673137	-11.171500196307898	1.0076666651681687	1	108	1:26281123-26281231
1	26780756	26780810	ENST00000324856_1	54	+	26780756	26780810	0	1	54	0	ENST00000324856	54	+	ARID1A	0	26780753	1.7398703252827679	1.7398703252827679	2.8904666662216187	4.059599900245667	6.040240703495564	1	54	1:26780756-26780810
1	26946181	26946202	ENST00000321265_1	21	+	26946181	26946202	0	1	21	0	ENST00000321265	21	+	NUDC	0	26946178	-20.23785679397129	-20.23785679397129	-20.16653302113215		0.6231904774904251	1	21	1:26946181-26946202
1	27822329	27822458	ENST00000373943_1	129	+	27822329	27822458	0	1	129	0	ENST00000373943	129	+	STX12	0	27822326	-17.708503809548162	-12.638674328493517	-16.11073327064514	-3.3434999763965605	3.2047674243822115	1	129	1:27822329-27822458
1	28280802	28280985	ENST00000253063_1	183	+	28280802	28280985	0	1	183	0	ENST00000253063	183	+	SESN2	0	28280799	-21.150672376644415	-20.246049203833596	-40.61700093746185	-8.432900160551071	1.0272349665664096	1	183	1:28280802-28280985
1	32195195	32195303	ENST00000373610_1	108	+	32195195	32195303	0	1	108	0	ENST00000373610	108	+	TXLNA	0	32195192	-12.155888974114701	-12.155888974114701	-17.131199995676678	-0.3892999172210693	1.7281759263682437	1	108	1:32195195-32195303
1	32231196	32231238	ENST00000677711_1	42	+	32231196	32231238	0	1	42	0	ENST00000677711	42	+	EIF3I	0	32231193	-10.144800090789795	-10.144800090789795	-14.97440013885498	-2.9015000661214194	0.36178571622197825	1	42	1:32231196-32231238
1	32333044	32333152	ENST00000373548_1	108	+	32333044	32333152	0	1	108	0	ENST00000373548	108	+	HDAC1	0	32333041	-14.095110892421669	-12.964472268190649	-20.01506655216217	-2.9618000358343126	3.495814820975755	1	108	1:32333044-32333152
1	36304017	36304077	ENST00000354618_1	60	+	36304017	36304077	0	1	60	0	ENST00000354618	60	+	THRAP3	0	36304014	-11.218199789524078	-10.527216470241546	-7.913799858093261	-8.784599781036377	2.557083339430392	1	60	1:36304017-36304077
1	37708366	37708396	ENST00000373055_1	30	+	37708366	37708396	0	1	30	0	ENST00000373055	30	+	CDCA8	0	37708363	-18.81406693061193	-12.779099992662669	-17.467533691724142	-18.81406693061193	0.17019999213516712	1	30	1:37708366-37708396
1	39034496	39034526	ENST00000372969_1	30	+	39034496	39034526	0	1	30	0	ENST00000372969	30	+	NDUFS5	0	39034493	-18.1409000625213	-18.1409000625213	-20.734800243377684	-18.1409000625213	0.7647999916225672	1	30	1:39034496-39034526
1	40071533	40071632	ENST00000372805_1	99	+	40071533	40071632	0	1	99	0	ENST00000372805	99	+	CAP1	0	40071530	-8.615141336363976	-8.129969582413182	-9.56693337758382	-5.906499755382538	4.277484859255227	1	99	1:40071533-40071632
1	40770828	40771101	ENST00000447388_1	273	+	40770828	40771101	0	1	273	0	ENST00000447388	273	+	NFYC	0	40770825	-10.484670346500454	-10.100348008857978	-11.823600006103515	0.34489989280700684	3.7236300249389567	1	273	1:40770828-40771101
1	42667419	42676613	ENST00000304979_1	51	+	42667419	42676613	0	2	21,30	0,9164	ENST00000304979	9194	+	PPIH	0	42667416	-20.28614202107996	-19.33366273248518	-16.21340052286784	11.048999786376953	0.10520531626789788	3	9194	1:42667419-42676613
1	42701015	42701985	ENST00000321358_1	36	+	42701015	42701985	0	2	31,5	0,965	ENST00000321358	970	+	YBX1	0	42701012	-17.22004048297514	-17.22004048297514	-3.515999992688497	-4.477399897575379	-0.23629690955846677	2	970	1:42701015-42701985
1	43363129	43363168	ENST00000310955_1	39	+	43363129	43363168	0	1	39	0	ENST00000310955	39	+	CDC20	0	43363126	-24.66623094907174	-24.66623094907174	-14.991800057888032	-27.0451001505057	1.6037435757999237	1	39	1:43363129-43363168
1	43978007	43978274	ENST00000472174_1	267	+	43978007	43978274	0	1	267	0	ENST00000472174	267	+	ATP6V0B	0	43978004	-18.022812693529808	-15.548876369937082	-11.118066438039143	-6.5849999487400055	2.272958804232379	1	267	1:43978007-43978274
1	44220618	44220654	ENST00000372289_1	36	+	44220618	44220654	0	1	36	0	ENST00000372289	36	+	DMAP1	0	44220615	-26.0452498793602	-21.069277743498485	-35.34499998092652	-26.635199856758117	1.6943333565464451	1	36	1:44220618-44220654
1	44778685	44778712	ENST00000396651_1	27	+	44778685	44778712	0	1	27	0	ENST00000396651	27	+	RPS8	0	44778682	-23.472925857261377	-18.934777796268463	-29.35153299967448		0.5817036781873968	1	27	1:44778685-44778712
1	45015498	45015528	ENST00000246337_1	30	+	45015498	45015528	0	1	30	0	ENST00000246337	30	+	UROD	0	45015495	-25.960599613189697	-25.960599613189697	-19.324799728393554	-25.960599613189697	0.29043333356579143	1	30	1:45015498-45015528
1	45618141	45618261	ENST00000350030_1	120	+	45618141	45618261	0	1	120	0	ENST00000350030	120	+	NASP	0	45618138	-8.770224787294865	-8.770224787294865	-15.958599734306336	1.2732000023126602	5.918016656053563	1	120	1:45618141-45618261
1	46316584	46316722	ENST00000311672_1	138	+	46316584	46316722	0	1	138	0	ENST00000311672	138	+	UQCRH	0	46316581	-14.019115951614104	-14.019115951614104	-15.21999994913737	-7.936099934577942	1.2595434791907885	1	138	1:46316584-46316722
1	47376745	47376751	ENST00000371873_1	6	+	47376745	47376751	0	1	6	0	ENST00000371873	6	+	CMPK1	0	47376742	-14.318999608357748	-14.318999608357748	-14.318999608357748		1.0694999794165294	1	6	1:47376745-47376751
1	52086758	52086854	ENST00000313334_1	96	+	52086758	52086854	0	1	96	0	ENST00000313334	96	+	BTF3L4	0	52086755	-10.936885221550861	-5.251906244782731	-10.944333267211913	-5.364899921417236	5.495104153330128	1	96	1:52086758-52086854
1	52416690	52416735	ENST00000257181_1	45	+	52416690	52416735	0	1	45	0	ENST00000257181	45	+	PRPF38A	0	52416687	-28.062199751536053	-26.197911210854848	-29.018599700927734	-26.35299983024597	1.2738666649881958	1	45	1:52416690-52416735
