chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends
1	23793717	23794732	ENST00000374501	507	+	23793717	23794732	0	6	35,71,74,102,174,51	0,142,345,506,709,964	ENST00000374501	1015	+	LYPLA2	0	23793729	16.902750253677368	16.902750253677368			7.056916477779548	1	12	-26.008030670422773	-15.888753843307494	-25.349599838256836	-22.341999673843382	1.594538451043459	2	65	1:23793717-23793729	[23793717]	[23793729]	[23793652]	[23793717]
1	61332516	61455320	ENST00000657234	900	+	61332516	61455320	0	8	70,118,128,129,179,166,92,18	0,19933,26630,50720,71587,74045,93948,122786	ENST00000657234	122804	+	NFIA	0	61352517	12.009884152723396	12.009884152723396	7.735399937629699	16.068800258636475	7.421789902869774	1	138	-21.822893837204685	-18.850370303385052	-28.44579944610596	0.7545999988913537	2.2927777921838435	1	405	1:61332516-61352517	[61332516, 61352449]	[61332586, 61352517]	[61275141, 61277150, 61277519, 61332511, 61352449]	[61275332, 61277293, 61277585, 61332516, 61352449]
1	63629433	63659675	ENST00000540265	1434	+	63629433	63659675	0	10	154,147,126,191,155,116,136,184,135,90	0,508,2223,5395,6800,9251,19083,22235,24898,30152	ENST00000540265	30242	+	PGM1	0	63631691	14.59851801200282	14.59851801200282	22.463000297546387	29.850900077819823	6.13063390022996	1	336	-17.45342487663822	-17.45342487663822	-33.26060123443604	2.1841002464294434	-0.17006957139684886	1	345	1:63629433-63631691	[63629433, 63629941, 63631656]	[63629587, 63630088, 63631691]	[63593808, 63629424, 63631656]	[63594144, 63629433, 63631656]
1	77535861	77558670	ENST00000478255	246	+	77535861	77558670	0	2	177,69	0,22740	ENST00000478255	22809	+	AK5	0	77535873	25.30625009536743	25.30625009536743			5.838666550815105	1	12	-7.699808200540608	-7.699808200540608	NaN	NaN	0.10219276698687708	1	249	1:77535861-77535873	[77535861]	[77535873]	[77532106, 77535846]	[77532340, 77535861]
1	151024644	151034234	ENST00000368936	993	+	151024644	151034234	0	5	151,159,95,159,429	0,870,2588,4141,9161	ENST00000368936	9590	+	PRUNE1	0	151025540	13.314276748962994	13.314276748962994	27.88579902648926	27.950900077819824	4.744011329929608	1	177	-17.923579605416222	-9.342637628016856	-25.815199851989746	11.679699909687042	3.2988255086320533	3	316	1:151024644-151025540	[151024644, 151025514]	[151024795, 151025540]	[151008482, 151017811, 151024610, 151025514]	[151008671, 151017904, 151024644, 151025514]
1	158076153	158095120	ENST00000360089	1872	+	158076153	158095120	0	12	109,150,106,149,128,127,101,199,108,140,78,477	0,1837,11601,11852,12173,13348,13564,15204,17185,17469,18159,18490	ENST00000360089	18967	+	KIRREL1	0	158076243	24.97679987748464	24.97679987748464	24.138199615478516	30.951899909973143	5.850455650107728	1	90	-6.160132919565788	-5.4102357351864745	2.440200036764145	25.00399966239929	2.39985146529088	1	501	1:158076153-158076243	[158076153]	[158076243]	[157993272, 158076112]	[157993732, 158076153]
1	169111407	169131555	ENST00000686702	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000686702	20148	+	ATP1B1	0	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-15.18845611985992	19.095441208166235	-2.1999999324480695	-9.911799985170365	6.567470595240593	2	68	1:169111407-169111440	[169111407]	[169111440]	[169106895, 169111374]	[169106930, 169111407]
1	169111407	169131555	ENST00000685155	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000685155	20148	+	ATP1B1	0	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-15.42965899904569	-15.42965899904569	-40.63879995346069	24.087100172042845	1.78429543735657	1	132	1:169111407-169111440	[169111407]	[169111440]	[169107090, 169111369]	[169107184, 169111407]
1	169111407	169131555	ENST00000685792	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000685792	20148	+	ATP1B1	0	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-25.40201024277782	-16.80035703218713	-11.260133202870687	-15.080499982833862	1.836005104282795	3	196	1:169111407-169111440	[169111407]	[169111440]	[169107595, 169111369]	[169107753, 169111407]
1	169111407	169131555	ENST00000691753	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000691753	20148	+	ATP1B1	0	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-18.128869264974043	-16.68913852830346	-15.54099988937378	-0.8961998701095581	2.4205653737478245	2	260	1:169111407-169111440	[169111407]	[169111440]	[169107888, 169111369]	[169108110, 169111407]
1	169111407	169131555	ENST00000494797	777	+	169111407	169131555	0	5	91,156,185,81,264	0,13476,15816,18602,19884	ENST00000494797	20148	+	ATP1B1	0	169111440	20.623000036586415	20.623000036586415	15.46200008392334	21.375400042533876	6.580636352300644	1	33	-16.191539059423544	-16.191539059423544	-61.2567990620931	24.087100172042845	2.7784215672385995	1	306	1:169111407-169111440	[169111407]	[169111440]	[169107895, 169111369]	[169108163, 169111407]
1	203863677	203869932	ENST00000367208	183	+	203863677	203869932	0	3	48,79,56	0,1363,6199	ENST00000367208	6255	+	SNRPE	0	203863701	19.073625087738037	19.073625087738037	24.166600227355957		7.334666658192873	1	24	-25.995452644690026	-6.477283050429146	-17.674600028991698	-23.21073309183121	2.491849082750532	2	53	1:203863677-203863701	[203863677]	[203863701]	[203863624]	[203863677]
1	206384046	206406598	ENST00000419187	921	+	206384046	206406598	0	6	30,216,129,222,102,222	0,8642,9498,17377,21202,22330	ENST00000419187	22552	+	SRGAP2	0	206384049	11.588000297546387	11.588000297546387			6.312999884287517	1	3	-10.354157343975613	-6.969579748627259	-1.098733615875244	6.741400146484375	5.495303376743131	3	445	1:206384046-206384049	[206384046]	[206384049]	[206205625, 206384013]	[206206037, 206384046]
1	220579362	220662166	ENST00000678435	2328	+	220579362	220662166	0	17	195,54,49,66,71,57,237,120,100,113,154,194,101,165,252,45,355	0,1702,18968,20435,24704,36576,38947,39273,51672,52838,56013,56470,71257,72623,73738,78427,82449	ENST00000678435	82804	+	MARK1	0	220598351	13.639114825372342	13.639114825372342	28.682400226593018	31.868900108337403	5.793185209682539	1	270	-4.994940010373464	-4.994940010373464	6.7397334734598795	14.025799798965455	3.2944610827117264	2	167	1:220579362-220598351	[220579362, 220581064, 220598330]	[220579557, 220581118, 220598351]	[220528815, 220529671, 220579353, 220598330]	[220528873, 220529771, 220579362, 220598330]
1	153982098	153984758	ENST00000614713	465	-	153982098	153984758	0	7	78,54,66,90,78,61,38	0,292,436,620,1120,1422,2622	ENST00000614713	2660	-	RAB13	0	153983523	20.437803205896596	20.437803205896596	14.824466514587403	25.47599983215332	5.601180324651545	2	61	-17.759319874299628	-17.759319874299628	41.70439987182617	41.465999603271484	0.8580045519869716	1	441	1:153982098-153983523	[153984720]	[153984781]	[153983523, 153984720, 153984983]	[153983581, 153984720, 153985366]
1	165728022	165768255	ENST00000580248	483	-	165728022	165768255	0	6	99,145,68,47,60,64	0,15144,24079,26205,31502,40169	ENST00000580248	40233	-	TMCO1	0	165754230	17.337767982828446	17.337767982828446	11.472466389338175	23.645900154113768	5.7848840620962605	1	138	-7.505664389265795	-4.225974810140571	-30.81013396581014	4.634100103378296	1.1653062032261632	2	565	1:165728022-165754230	[165759524, 165768191]	[165759584, 165768269]	[165754230, 165768191, 165797696, 165799917, 165827469]	[165754274, 165768191, 165797813, 165800035, 165827755]
1	165728022	165768255	ENST00000464650	483	-	165728022	165768255	0	6	99,145,68,47,60,64	0,15144,24079,26205,31502,40169	ENST00000464650	40233	-	TMCO1	0	165754230	17.337767982828446	17.337767982828446	11.472466389338175	23.645900154113768	5.7848840620962605	1	138	-11.242499986548482	-11.242499986548482	31.06180057525635	22.7576003074646	0.9676605134650513	1	162	1:165728022-165754230	[165759524, 165768191]	[165759584, 165768269]	[165754230, 165768191, 165768758]	[165754274, 165768191, 165768876]
1	167431680	167440750	ENST00000700108	417	-	167431680	167440750	0	7	66,36,57,33,81,57,87	0,1343,2339,3718,6889,7663,8983	ENST00000700108	9070	-	CD247	0	167438584	13.013323035183715	13.013323035183715	14.042599964141846	29.237300300598143	3.4268571630399385	3	161	-21.521668460306426	-10.554878912826274	-31.14446636835734	0.680400013923645	0.3946256687115121	1	561	1:167431680-167438584	[167439343, 167440663]	[167439400, 167440767]	[167438584, 167440663, 167444142, 167518407]	[167438650, 167440663, 167444451, 167518593]
1	167431680	167440750	ENST00000700109	420	-	167431680	167440750	0	7	66,36,57,36,81,57,87	0,1343,2339,3718,6889,7663,8983	ENST00000700109	9070	-	CD247	0	167438584	13.013323035183715	13.013323035183715	14.042599964141846	29.237300300598143	3.4268571630399385	3	161	-10.735939771716504	-10.735939771716504	13.031599617004394	36.96189937591553	0.18174245284253757	3	497	1:167431680-167438584	[167439343, 167440663]	[167439400, 167440767]	[167438584, 167440663, 167444142, 167518407]	[167438650, 167440663, 167444451, 167518529]
1	212727141	212791574	ENST00000366978	348	-	212727141	212791574	0	5	38,55,131,79,45	0,55230,57221,60417,64388	ENST00000366978	64433	-	NSL1	0	212787562	18.729672856628895	18.729672856628895	29.14699993133545	23.247299548983573	3.2006923216036878	2	52	-18.517120014826457	15.611559932231904	-23.836200110117595	-13.327700066566468	4.044066651985049	1	75	1:212727141-212787562	[212791529]	[212791581]	[212787562, 212791529]	[212787637, 212791529]
1	224227625	224330114	ENST00000469968	2211	-	224227625	224330114	0	21	45,71,89,77,107,100,120,63,105,219,250,145,118,102,135,77,133,58,100,53,44	0,3600,5575,8880,22586,40408,47713,53497,58400,60149,61858,66641,68875,72936,76097,77110,77408,84174,90068,90252,102445	ENST00000469968	102489	-	NVL	0	224311823	12.275200920946459	12.275200920946459	7.813066832224528	28.117699527740477	3.2607450999305856	1	204	-1.1652646625743193	-1.1652646625743193	3.679199981689453	0.657900047302246	2.930911729221835	2	34	1:224227625-224311823	[224317693, 224317877, 224330070]	[224317793, 224317930, 224330121]	[224311823, 224330070]	[224311857, 224330070]
10	11869659	11870406	ENST00000379200	747	+	11869659	11870406	0	1	747	0	ENST00000379200	747	+	PROSER2	0	11869686	49.61366695827908	49.61366695827908	39.78220138549805		2.304925926581577	1	27	-21.61474998295307	25.292874969542027	-20.15740008354187		4.93031248729676	3	16	10:11869659-11869686	[11869659]	[11869686]	[11869643]	[11869659]
10	27504418	27538051	ENST00000682963	381	+	27504418	27538051	0	4	19,119,67,176	0,29316,29509,33457	ENST00000682963	33633	+	RAB18	0	27533826	13.783261230668506	13.783261230668506	16.492333221435548	15.827366733551026	7.242693632304132	1	111	-14.985425809232316	-5.056287274502291	-9.012333106994628	2.540499693155289	3.365405935167086	2	101	10:27504418-27533826	[27504418, 27533734]	[27504437, 27533826]	[27504317, 27533734]	[27504418, 27533734]
10	58361344	58368765	ENST00000615793	381	+	58361344	58368765	0	5	57,78,106,94,46	0,2264,3426,6578,7375	ENST00000615793	7421	+	UBE2D1	0	58361395	29.128117523941338	29.128117523941338	43.53479976654053	37.34779958724975	6.263666624824206	1	51	-6.029551047157115	-6.029551047157115	6.073933120568594	4.374300217628479	2.9051417238839834	2	254	10:58361344-58361395	[58361344]	[58361395]	[58334978, 58361337]	[58335225, 58361344]
10	67891401	67916593	ENST00000432464	1455	+	67891401	67916593	0	6	153,148,80,187,558,329	0,15388,16644,17854,21072,24863	ENST00000432464	25192	+	SIRT1	0	67891497	13.957812597975135	13.957812597975135	18.1302001953125	20.559200179576873	6.907083302013537	1	96	-16.216398793450068	-5.57361007393116	-11.47506659825643	2.1906999960541724	2.1652738282005193	1	336	10:67891401-67891497	[67891401]	[67891497]	[67885180, 67887416, 67891401]	[67885399, 67887533, 67891401]
10	70844499	70877335	ENST00000697927	1653	+	70844499	70877335	0	13	139,68,148,77,129,89,106,99,150,239,147,121,141	0,6643,10208,13114,14871,23845,25292,26548,27337,28851,30902,32041,32695	ENST00000697927	32836	+	SGPL1	0	70851189	15.150177569944733	15.150177569944733	14.902600193023682	25.290000009536744	4.647333369903286	1	186	-18.73066354636103	-17.745057618961884	-12.428800090154011	-4.741433191299438	0.8637738752889039	3	211	10:70844499-70851189	[70844499, 70851142]	[70844638, 70851189]	[70815942, 70844472, 70851142]	[70816126, 70844499, 70851142]
10	70844499	70893818	ENST00000697988	816	+	70844499	70893818	0	8	139,68,148,77,129,89,106,60	0,6643,10208,13114,14871,23845,25292,49259	ENST00000697988	49319	+	SGPL1	0	70851189	15.150177569944733	15.150177569944733	14.902600193023682	25.290000009536744	4.647333369903286	1	186	-20.821319190151403	-17.552455399048892	-5.544466018676758	-8.007399892807006	0.7403736336528999	2	194	10:70844499-70851189	[70844499, 70851142]	[70844638, 70851189]	[70815959, 70844472, 70851142]	[70816126, 70844499, 70851142]
10	89305980	89307375	ENST00000680381	1395	+	89305980	89307375	0	1	1395	0	ENST00000680381	1395	+	IFIT2	0	89306028	10.455874748528004	10.455874748528004	13.45399980545044	17.908799993991853	2.4891250024860105	1	48	-7.7902069407804255	-7.285550524496866	NaN	NaN	0.009987085245762748	2	542	10:89305980-89306028	[89305980]	[89306028]	[89285012, 89292288, 89293955, 89305961]	[89285264, 89292473, 89294041, 89305980]
10	89305980	89307375	ENST00000679734	1395	+	89305980	89307375	0	1	1395	0	ENST00000679734	1395	+	IFIT2	0	89306028	10.455874748528004	10.455874748528004	13.45399980545044	17.908799993991853	2.4891250024860105	1	48	-8.255112712435862	-6.609495119356057	NaN	NaN	0.007756579440626267	1	456	10:89305980-89306028	[89305980]	[89306028]	[89285012, 89292288, 89305961]	[89285264, 89292473, 89305980]
10	89305980	89307375	ENST00000679755	1395	+	89305980	89307375	0	1	1395	0	ENST00000679755	1395	+	IFIT2	0	89306028	10.455874748528004	10.455874748528004	13.45399980545044	17.908799993991853	2.4891250024860105	1	48	-25.175519691677543	-21.427377759002326	-24.643200222651164	-18.775799584388732	0.1589685087128887	3	127	10:89305980-89306028	[89305980]	[89306028]	[89302045, 89305936]	[89302128, 89305980]
