translon_id	classification	chrom	start	end	exonic_length	feature_mean	max_flank	upstream_mean	downstream_mean	conservation_specificity	has_cds_overlap	overlapping_genes
c1norep305	restricted_candidate	chr1	204494646	204494703	57	3.450526237487793	0.22645998001098633	-0.12983332574367523	0.22645998001098633	3.2240662574768066	False	-1
c11riboseqorf76	restricted_candidate	chr11	62855594	62855660	66	3.113287925720215	0.001273320522159338	-1.0481799840927124	0.001273320522159338	3.1120145320892334	False	-1
c11norep68	restricted_candidate	chr11	46617569	46617644	75	3.4835734367370605	0.7647666335105896	0.2660599946975708	0.7647666335105896	2.718806743621826	False	-1
c3norep26	restricted_candidate	chr3	17623728	17623884	156	3.2762372493743896	0.5668933391571045	0.013691771775484085	0.5668933391571045	2.709343910217285	False	-1
c12riboseqorf41	restricted_candidate	chr12	45727347	45727710	363	3.185441017150879	0.5450138449668884	0.5450138449668884	0.35084667801856995	2.6404271125793457	False	-1
c12riboseqorf64	restricted_candidate	chr12	53964109	53966044	96	3.5494892597198486	0.994219958782196	0.994219958782196	0.42166662216186523	2.555269241333008	False	-1
c12norep80	restricted_candidate	chr12	53964090	53966044	168	3.2708740234375	0.9655932784080505	0.9655932784080505	0.1967533379793167	2.3052806854248047	False	-1
cXriboseqorf73	restricted_candidate	chrX	154398269	154398353	84	1.5436906814575195	-0.6948999762535095	-0.6948999762535095	-1.3502665758132935	2.238590717315674	False	-1
c15riboseqorf34	restricted_candidate	chr15	50355372	50355582	210	2.418952465057373	0.3710933327674866	0.3710933327674866	0.015753326937556267	2.0478591918945312	False	-1
c17norep10	restricted_candidate	chr17	5112292	5123091	174	1.6685173511505127	-0.33782002329826355	-0.811633288860321	-0.33782002329826355	2.0063374042510986	False	-1
c10norep37	restricted_candidate	chr10	23695147	24007245	108	2.641120433807373	0.7000267505645752	0.20370669662952423	0.7000267505645752	1.9410936832427979	False	-1
c10norep86	restricted_candidate	chr10	61794422	61820150	60	1.907599925994873	0.0006376049132086337	0.0006376049132086337	-0.07381332665681839	1.906962275505066	False	-1
c7riboseqorf23	restricted_candidate	chr7	25180069	25180180	111	2.5166754722595215	0.6681532859802246	-0.5309666991233826	0.6681532859802246	1.8485221862792969	False	-1
c20norep12	restricted_candidate	chr20	3888747	3888840	93	2.211892604827881	0.4304867088794708	0.4304867088794708	0.21120665967464447	1.7814059257507324	False	-1
c14riboseqorf49	restricted_candidate	chr14	58273982	58291692	252	2.146392822265625	0.38991332054138184	0.38991332054138184	-0.4834199547767639	1.7564795017242432	False	-1
c11norep130	restricted_candidate	chr11	73228017	73228119	102	2.1989409923553467	0.46194666624069214	0.3844866454601288	0.46194666624069214	1.7369942665100098	False	-1
c8riboseqorf33	restricted_candidate	chr8	28715667	28715718	51	2.681607723236084	0.9811133742332458	0.8309933543205261	0.9811133742332458	1.7004942893981934	False	-1
c13riboseqorf22	restricted_candidate	chr13	39601374	39602962	96	1.6402082443237305	-0.019899994134902954	-0.019899994134902954	-0.10295999050140381	1.660108208656311	False	-1
c11riboseqorf8	restricted_candidate	chr11	2992254	2992341	87	2.111586093902588	0.4891332983970642	0.4891332983970642	-0.7378000020980835	1.622452735900879	False	-1
c10norep162	restricted_candidate	chr10	118046873	118046924	51	2.3939411640167236	0.8375266194343567	0.8375266194343567	0.2777666747570038	1.5564146041870117	False	-1
cXnorep100	restricted_candidate	chrX	140783107	140783464	357	2.3768093585968018	0.8206867575645447	0.8206867575645447	0.3651866316795349	1.5561225414276123	False	-1
c6norep27	restricted_candidate	chr6	11093983	11094046	63	1.9965237379074097	0.44703999161720276	0.14407333731651306	0.44703999161720276	1.5494837760925293	False	-1
