chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends
1	1233268	1233487	ENST00000379198_1	219	+	1233268	1233487	0	1	219	0	ENST00000379198	219	+	B3GALT6	0	1232278	-25.396803657213848	-21.587219172961092	-10.111866601308186	-8.079700040817261	-1.7423380881991415	1	219	-17.011003189153975	-16.925285616656616	-36.821266428629556	-1.4171000003814698	-0.6197728155582426	1	1554	1:1233487-1232278	[1233268]	[1233487]	[1233487]	[1235041]
1	1534072	1534258	ENST00000378756_1	186	+	1534072	1534258	0	1	186	0	ENST00000378756	186	+	ATAD3A	0	1512268	-22.40556457222149	-19.107575270837994	-35.20493241548538	-12.426500046253205	-1.3401827928697772	1	186	-25.67209803484131	-21.093660345836376	-29.9161997795105	-9.634700202941895	-0.9914730734241455	2	427	1:1534258-1512268	[1534072]	[1534258]	[1534258]	[1534685]
1	6621637	6621790	ENST00000377648_1	153	+	6621637	6621790	0	1	153	0	ENST00000377648	153	+	PHF13	0	6614066	-20.25339224058039	-14.597823639126386	-36.78973306020101	-9.998500192165375	2.6625555756142716	1	153	-21.554810307463466	-21.026101817356956	-11.945933389663697	-0.46919996440410616	0.9869339269395693	3	2240	1:6621790-6614066	[6621637]	[6621790]	[6621790]	[6624030]
1	7779645	7779765	ENST00000054666_1	120	+	7779645	7779765	0	1	120	0	ENST00000054666	120	+	VAMP3	0	7771383	-18.328000128269196	-16.89349171320597	-19.957799768447877	-7.282499980926514	1.7725083383110662	1	120	-24.038322636788976	-22.180410791951285	-25.49686745007833	-3.6535999715328216	0.6111865632744264	3	1667	1:7779765-7771383	[7779645]	[7779765]	[7779765]	[7781432]
1	7985054	7985096	ENST00000338639_1	42	+	7985054	7985096	0	1	42	0	ENST00000338639	42	+	PARK7	0	7962785	-22.66054742960703	-17.647809711240587	-9.400599765777589	-23.781166378657023	-0.7305476267910784	1	42	-26.750109952101482	-18.576264815609903	-21.40660047531128	-10.011699867248534	-0.7489853295797031	2	409	1:7985096-7962785	[7985054]	[7985096]	[7985096]	[7985505]
1	11022654	11022708	ENST00000240185_1	54	+	11022654	11022708	0	1	54	0	ENST00000240185	54	+	TARDBP	0	11013727	-16.50577800307009	-16.50577800307009	-24.438200283050538	-11.601600217819215	2.4676481357741133	1	54	-9.101782098965078	-9.101782098965078	-1.3082000255584716	8.997999846935272	5.274512205419184	1	2784	1:11022708-11013727	[11022654]	[11022708]	[11022708]	[11025492]
1	12011565	12011682	ENST00000235329_1	117	+	12011565	12011682	0	1	117	0	ENST00000235329	117	+	MFN2	0	11989168	-7.63633329134721	-7.63633329134721	1.3392000198364258	2.7364000558853148	-0.3074615524054911	1	117	-22.261839266306527	-22.261839266306527	-8.099400013685226	-6.433099952340126	0.1444370212597744	3	1826	1:12011682-11989168	[12011565]	[12011682]	[12011682]	[12013508]
1	15428724	15428799	ENST00000375980_1	75	+	15428724	15428799	0	1	75	0	ENST00000375980	75	+	EFHD2	0	15409971	-31.073079830110075	-20.776146593093873	-33.721799755096434	-24.226299786567687	-0.8168666582306227	1	75	-19.333799993737856	-19.333799993737856	-26.839666589101157	6.070799970626831	0.6906389621791714	2	1540	1:15428799-15409971	[15428724]	[15428799]	[15428799]	[15430339]
1	15656633	15656642	ENST00000480945_1	9	+	15656633	15656642	0	1	9	0	ENST00000480945	9	+	DDI2	0	15617670	-1.2260000970628526	2.3349998792012534	-1.2478667894999187		9.096333291795519	1	18	-21.4627676935383	-19.175379051469086	-12.885666529337565	4.313999915122986	0.6992178491142289	2	12439	1:15656642-15617670	[15656633, 15656633]	[15656642, 15656642]	[15656642, 15656642]	[15656679, 15669044]
1	19328643	19328658	ENST00000375153_1	15	+	19328643	19328658	0	1	15	0	ENST00000375153	15	+	SLC66A1	0	19317677	-6.300200271606445	-6.300200271606445	-6.300200271606445		-0.836333337922891	1	15	-19.0493510526387	-18.560365077232976	-19.35659995675087	5.357999761899312	-0.6649074096292232	1	642	1:19328658-19317677	[19328643]	[19328658]	[19328658]	[19329300]
1	22091517	22091589	ENST00000656825_1	72	+	22091517	22091589	0	1	72	0	ENST00000656825	72	+	CDC42	0	22078478	-4.510624932746093	-2.5076528439919152	2.7542000889778135	-1.1598999202251434	6.410291635327869	1	72	-18.30863095383748	-18.24607465414265	-5.028400039672851	4.521499931812286	0.5332794593144169	1	9771	1:22091589-22078478	[22091517]	[22091589]	[22091589]	[22101360]
1	23787376	23787415	ENST00000246151_1	39	+	23787376	23787415	0	1	39	0	ENST00000246151	39	+	PITHD1	0	23778515	-15.129538545241722	-13.494615195175776	-12.974333377679189	-13.162400203943253	1.8476153694045467	1	39	-19.8917006851683	-19.8917006851683	-31.226200294494628	-6.958199870586395	1.9336523826875538	2	817	1:23787415-23778515	[23787376]	[23787415]	[23787415]	[23788232]
1	24840937	24841015	ENST00000374379_1	78	+	24840937	24841015	0	1	78	0	ENST00000374379	78	+	CLIC4	0	24745553	-21.989999688588657	-20.855076909065247	-54.357865524291995	-9.17070004940033	1.4266025722504427	1	78	-24.48967877046571	-23.791919959058816	-25.44659964243571	-3.990699926018715	0.7796393795513842	1	3306	1:24841015-24745553	[24840937]	[24841015]	[24841015]	[24844321]
1	25360705	25360906	ENST00000374358_1	201	+	25360705	25360906	0	1	201	0	ENST00000374358	201	+	TMEM50A	0	25340486	-16.689741281727652	-16.689741281727652	-10.826866761843364	-6.1596999883651735	0.8848407935323332	1	201	-23.604283833974826	-23.40194227017808	-30.553667004903158	-4.042699909210205	0.15717594560421363	1	1455	1:25360906-25340486	[25360705]	[25360906]	[25360906]	[25362361]
1	26170716	26170761	ENST00000374266_1	45	+	26170716	26170761	0	1	45	0	ENST00000374266	45	+	ZNF593	0	26169983	-21.57519992192586	-21.57519992192586	-31.586799812316894	-16.569399976730345	1.2512000010245377	1	45	-25.496982171865447	-25.496982171865447	-20.277999941507975	-19.494899940490722	1.0260803572527948	2	112	1:26170761-26169983	[26170716]	[26170761]	[26170761]	[26170873]
1	26281123	26281231	ENST00000270792_1	108	+	26281123	26281231	0	1	108	0	ENST00000270792	108	+	SH3BGRL3	0	26280155	-17.703203665092587	-15.546472330888113	-13.856667057673137	-11.171500196307898	1.0076666651681687	1	108	-17.251763897534047	-16.290243918953074	-24.82193349202474	-0.11519999504089355	2.002704473162755	1	291	1:26281231-26280155	[26281123]	[26281231]	[26281231]	[26281522]
1	26780756	26780810	ENST00000324856_1	54	+	26780756	26780810	0	1	54	0	ENST00000324856	54	+	ARID1A	0	26696403	1.7398703252827679	1.7398703252827679	2.8904666662216187	4.059599900245667	6.040240703495564	1	54	-5.243803235981397	-4.468734328895461	3.0633333683013917	4.666999793052673	6.810166930227067	2	1294	1:26780810-26696403	[26780756]	[26780810]	[26780810]	[26782104]
