translon_id	chrom	start	end	strand	transcript_id	exonic_length	blockCount	flank_size	flank_type	feature_n_bases	feature_mean	feature_median	feature_std	feature_min	feature_max	upstream_n_bases	upstream_mean	upstream_median	upstream_std	upstream_min	upstream_max	downstream_n_bases	downstream_mean	downstream_median	downstream_std	downstream_min	downstream_max	conservation_specificity
c1norep1	chr1	826870	829027	+	ENST00000623808	78	2	150	exonic	2157	-1.5044899	-0.735	2.2488744	-20.0	3.281	150	-2.9274332523345947	-2.2750000953674316	2.74233078956604	-11.491999626159668	1.0240000486373901	150	-0.86019325	-0.3445	1.4938698	-6.72	0.645	-0.6442966461181641
c1norep2	chr1	829023	829092	+	ENST00000445118	69	1	150	exonic	69	-0.9845652	-0.399	1.5729374	-6.565	0.645	150	-0.3594333529472351	-0.3709999918937683	1.0831762552261353	-8.784000396728516	0.48500001430511475	150	-0.68091995	-0.26099998	1.497305	-7.687	0.637	-0.6251318454742432
c1riboseqorf1	chr1	847671	850321	+	ENST00000448975	276	2	150	exonic	2650	-0.14848943	-0.078	0.9980831	-8.703	3.294	150	-0.10129999369382858	-0.07099999487400055	0.8969811797142029	-4.3979997634887695	2.48799991607666	150	0.3854	0.2885	0.99657774	-2.766	3.241	-0.5338894128799438
c1riboseqorf2	chr1	847671	852067	+	ENST00000449005	276	2	150	exonic	4396	-0.09097794	0.031999998	0.9437695	-8.703	3.294	150	-0.10129999369382858	-0.07099999487400055	0.8969811797142029	-4.3979997634887695	2.48799991607666	150	-0.025193335	-0.0145	0.847214	-3.816	1.958	-0.06578460335731506
c1riboseqorf3	chr1	852070	852699	+	ENST00000445118	69	2	150	exonic	629	0.008376786	-0.011	0.84598756	-4.455	1.974	150	-0.2730399966239929	-0.18950000405311584	0.9287276864051819	-3.750999927520752	1.8650000095367432	150	-0.03556667	0.0014999998	0.8371962	-4.399	1.969	0.04394345358014107
c1riboseqorf4	chr1	852734	853433	+	ENST00000445118	75	2	150	exonic	699	-0.8229027	-0.262	1.9631057	-11.611	1.941	150	0.05854665860533714	0.00800000037997961	0.8281443119049072	-2.0380001068115234	1.9739999771118164	150	-0.53341997	-0.4935	0.8373594	-3.125	0.825	-0.8814493417739868
c1riboseqorf5	chr1	853950	854040	+	ENST00000445118	90	1	150	exonic	90	-0.23861112	-0.132	0.7516155	-2.825	1.707	150	-0.3493666648864746	-0.179500013589859	0.9568092226982117	-3.8610000610351562	1.684000015258789	150	0.017566662	0.015999999	0.8690627	-2.822	2.135	-0.25617778301239014
c1norep3	chr1	854949	856651	+	ENST00000666741	375	2	150	exonic	1692	-0.4340118	-0.181	1.1532253	-7.213	1.938	150	-0.12774664163589478	-0.13300000131130219	0.98652184009552	-3.5810000896453857	2.385999917984009	150	-0.58036	-0.3475	1.1080368	-5.078	2.668	-0.3062651455402374
c1norep4	chr1	1000104	1000164	-	ENST00000428771	60	1	150	exonic	60	0.62771666	0.111999996	2.5646265	-3.576	8.237	150	0.039593327790498734	-0.05849999934434891	2.1105685234069824	-6.400000095367432	9.545000076293945	150	-0.19545332	-0.108500004	1.5611888	-7.073	4.54	0.5881233215332031
c1riboseqorf6	chr1	1254954	1255053	-	ENST00000349431	99	1	150	exonic	99	0.5385051	0.278	1.855503	-4.568	5.569	150	0.7594000101089478	0.42100000381469727	2.4077308177948	-7.066999912261963	8.043000221252441	150	2.353487	1.732	3.2360854	-8.84	10.709	-1.8149819374084473
c1norep5	chr1	1349127	1349286	-	ENST00000378888	159	1	150	exonic	159	0.16607547	0.137	1.1330719	-3.774	4.919	150	0.18236665427684784	0.09999999403953552	1.5152957439422607	-5.906000137329102	5.1479997634887695	150	3.9031532	2.4785	3.7468994	-1.895	11.451	-3.7370777130126953
c1riboseqorf7	chr1	1375164	1375296	-	ENST00000338338	132	1	150	exonic	132	-0.5310151	-0.2995	1.7487301	-6.96	4.588	150	-0.6944133639335632	-0.40799999237060547	1.6308786869049072	-7.4670000076293945	2.943000078201294	150	-1.2262201	-0.7945	1.4836212	-6.918	1.369	0.16339826583862305
c1norep6	chr1	1399551	1399746	+	ENST00000418833	195	1	150	exonic	195	-1.5347384	-0.839	2.0928886	-14.632	1.193	150	-0.0152066545560956	-0.053999997675418854	2.644442081451416	-15.954999923706055	8.017000198364258	150	-1.2126733	-0.76199996	1.503611	-8.171	1.348	-1.5195317268371582
c1norep7	chr1	1399551	1400290	+	ENST00000444362	267	2	150	exonic	739	-1.0346833	-0.649	1.5390762	-14.632	1.864	150	-0.0152066545560956	-0.053999997675418854	2.644442081451416	-15.954999923706055	8.017000198364258	141	-0.7358724	-0.449	1.1312975	-4.026	1.602	-1.0194766521453857
c1norep8	chr1	1399633	1400290	+	ENST00000448629	189	2	150	exonic	657	-1.0629939	-0.65	1.5792563	-14.632	1.864	150	-0.1357799768447876	-0.19600000977516174	1.7342419624328613	-6.8470001220703125	5.64300012588501	141	-0.7358724	-0.449	1.1312975	-4.026	1.602	-0.9272139072418213
c1norep9	chr1	1399872	1400004	+	ENST00000418833	132	1	150	exonic	132	-0.7150227	-0.42900002	1.1018895	-4.694	1.437	150	-1.2230067253112793	-0.7619999647140503	1.5395848751068115	-8.170999526977539	1.3480000495910645	150	-0.6211333	-0.40399998	0.97699	-4.742	1.864	-0.09388935565948486
c1norep10	chr1	1400940	1401126	+	ENST00000444362	186	1	150	exonic	186	-0.8648872	-0.56700003	1.2886413	-8.848	1.493	150	-0.6970798969268799	-0.4790000021457672	1.1770645380020142	-6.111000061035156	0.9959999918937683	139	-0.5291726	-0.288	1.2893183	-8.062	1.998	-0.33571457862854004
c1norep11	chr1	1401925	1401991	-	ENST00000344843	66	1	150	exonic	66	-0.20269698	-0.21200001	1.6373601	-4.397	8.008	150	1.4576200246810913	0.14399999380111694	3.597166061401367	-11.71500015258789	11.593000411987305	148	-0.87961483	-0.64400005	1.5806825	-5.697	3.774	-1.6603169441223145
c1norep12	chr1	1418509	1418593	-	ENST00000537107	84	1	150	exonic	84	0.0150595335	0.18	0.43882686	-1.394	0.187	150	-0.05957998335361481	0.14399999380111694	0.5143334865570068	-1.3880000114440918	0.18700000643730164	150	0.037373345	0.144	0.42961004	-2.733	0.187	-0.022313810884952545
c1norep13	chr1	1421024	1421090	-	ENST00000454272	66	1	150	exonic	66	-0.401197	-0.153	1.3001065	-6.849	1.686	150	-0.27432000637054443	-0.09749999642372131	1.26920485496521	-6.515999794006348	2.5759999752044678	150	0.061020005	0.0935	2.7545311	-20.0	7.384	-0.4622170031070709
c1norep14	chr1	1615350	1615461	-	ENST00000607222	111	1	150	exonic	111	-0.6048648	-0.144	1.805225	-8.802	3.161	150	-1.2998933792114258	-0.8789999485015869	1.8270554542541504	-10.065999984741211	1.8860000371932983	150	-0.38512665	-0.386	1.7220786	-6.695	5.209	-0.21973812580108643
c1norep15	chr1	1628112	1628274	+	ENST00000505820	69	2	150	exonic	162	1.5115556	0.3345	4.979491	-20.0	11.658	150	1.7361266613006592	1.2120000123977661	5.6325860023498535	-20.0	11.630999565124512	150	3.5646932	3.7905002	5.813711	-20.0	11.659	-2.05313777923584
c1norep16	chr1	1676749	1692675	-	ENST00000611123	324	2	150	exonic	15815	-0.6556346	-0.335	1.3858267	-15.955	4.161	133	-1.1876541376113892	-0.871999979019165	1.319327712059021	-5.829999923706055	0.5860000252723694	150	-0.3050533	-0.151	3.408656	-10.601	10.108	-0.3505812883377075
c1norep17	chr1	1691079	1691331	-	ENST00000617444	252	1	150	exonic	252	-0.56542856	-0.36699998	0.9468811	-5.025	1.6	150	-0.6025866866111755	-0.30949997901916504	1.1435858011245728	-4.833000183105469	2.1470000743865967	150	-0.58512	-0.354	0.9557517	-4.041	1.659	0.01969146728515625
c1riboseqorf8	chr1	1691332	1692675	-	ENST00000617444	288	2	150	exonic	1343	-0.6366433	-0.426	1.2106094	-10.049	4.161	133	-1.1876541376113892	-0.871999979019165	1.319327712059021	-5.829999923706055	0.5860000252723694	150	-0.52841336	-0.312	0.88976026	-5.025	1.6	-0.10822993516921997
c1norep18	chr1	1739607	1745755	-	ENST00000643905	129	2	150	exonic	6146	-0.6253695	-0.2855	1.4311417	-12.706	3.671	150	-1.0576733350753784	-0.7445000410079956	1.2999632358551025	-5.135000228881836	1.8819999694824219	150	-0.33586666	-0.094	3.157417	-11.027	8.344	-0.2895028293132782
c1norep19	chr1	1744354	1744606	-	ENST00000355439	252	1	150	exonic	252	-0.34553573	-0.111	1.0183263	-8.331	0.981	150	-0.4266600012779236	-0.24149999022483826	1.0994960069656372	-6.2179999351501465	1.9900000095367432	150	-0.28744665	-0.144	0.8798296	-3.241	0.981	-0.05808907747268677
c1norep20	chr1	1744607	1745755	-	ENST00000355439	93	2	150	exonic	1148	-0.59314376	-0.4105	1.1462808	-7.653	3.671	150	-1.0576733350753784	-0.7445000410079956	1.2999632358551025	-5.135000228881836	1.8819999694824219	150	-0.28350666	-0.11	1.0563838	-8.331	0.981	-0.3096370995044708
c1norep21	chr1	1765408	1780052	-	ENST00000378625	186	2	150	exonic	14411	-0.63908935	-0.301	1.5380228	-20.0	9.942	132	0.7523788213729858	0.16049998998641968	1.7201857566833496	-3.5139999389648438	6.557000160217285	150	2.26762	1.8205	4.527776	-20.0	11.602	-2.9067094326019287
c1norep22	chr1	2316884	2319237	+	ENST00000661319	375	2	150	exonic	2347	-1.0194933	-0.651	1.6353397	-11.928	5.066	150	-0.786673367023468	-0.4465000033378601	1.5454446077346802	-5.557000160217285	2.8580000400543213	150	0.031240081	0.0039999997	1.7932913	-9.048	3.854	-1.0507334470748901
c1norep23	chr1	2403308	2403554	+	ENST00000605895	246	1	150	exonic	246	0.013138205	-0.064500004	1.9795259	-9.201	7.183	150	3.6123404502868652	3.185999870300293	2.869645595550537	-1.4950000047683716	11.616999626159668	150	0.7666733	0.319	1.98572	-4.868	6.136	-3.5992021560668945
c1norep24	chr1	2546840	2547269	+	ENST00000606645	429	1	150	exonic	429	-0.95693934	-0.614	1.4857494	-9.456	2.843	150	-0.7892799973487854	-0.46050000190734863	1.2768828868865967	-5.744999885559082	1.531000018119812	150	-1.4776332	-0.998	2.0449238	-12.05	2.142	-0.16765934228897095
c1riboseqorf9	chr1	2556592	2556655	+	ENST00000355716	63	1	150	exonic	63	-1.1886507	-0.594	2.1338096	-11.659	1.392	150	-1.7875933647155762	-1.1299999952316284	2.573046922683716	-12.947999954223633	2.009000062942505	150	-0.47099334	-0.39749998	1.817239	-7.239	7.18	-0.7176573872566223
c1riboseqorf10	chr1	2589753	2589987	+	ENST00000419916	234	1	150	exonic	234	-0.73373073	-0.375	1.421123	-10.112	2.156	150	-1.2201666831970215	-0.6740000247955322	2.0747549533843994	-11.645000457763672	5.355000019073486	150	-0.75843996	-0.58650005	1.1530201	-7.078	1.476	0.024709224700927734
