chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	cds_strand	cds_gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	cds_matched_frame_score	cds_max_frame_score	cds_start_region_score	cds_window_max_score	cds_phylop_mean	cds_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends	cds_block_starts	cds_block_ends
1	1233268	1233487	ENST00000379198_1	219	+	1233268	1233487	0	1	219	0	ENST00000379198	219	+	B3GALT6		1232278	-18.04856833181223	-17.683708459973378	-10.111866601308186	-1.4171000003814698	-0.754096865275957	1	1773						1	0							1:1233268-1232278	[1233268]	[1235041]	[1233268]	[1233268]	[]	[]
1	1534072	1534258	ENST00000378756_1	186	+	1534072	1534258	0	1	186	0	ENST00000378756	186	+	ATAD3A		1512268	-25.320115336745918	-21.495660652438733	-33.26599960327148	-9.634700202941895	-1.0972805902543046	2	613						1	0							1:1534072-1512268	[1534072]	[1534685]	[1534072]	[1534072]	[]	[]
1	6621637	6621790	ENST00000377648_1	153	+	6621637	6621790	0	1	153	0	ENST00000377648	153	+	PHF13		6614066	-21.638651114235046	-20.615100329154163	-40.95646622975667	-0.46919996440410616	1.094067279320359	3	2393						1	0							1:6621637-6614066	[6621637]	[6624030]	[6621637]	[6621637]	[]	[]
1	7779645	7779765	ENST00000054666_1	120	+	7779645	7779765	0	1	120	0	ENST00000054666	120	+	VAMP3		7771383	-24.150646742588616	-21.823588356940355	-28.762000401814777	-3.6535999715328216	0.6891712375913804	3	1787						1	0							1:7779645-7771383	[7779645]	[7781432]	[7779645]	[7779645]	[]	[]
1	7985054	7985096	ENST00000338639_1	42	+	7985054	7985096	0	1	42	0	ENST00000338639	42	+	PARK7		7962785	-25.88518549482511	-18.851961382262292	-17.913200477759045	-10.011699867248534	-0.7472682929563722	2	451						1	0							1:7985054-7962785	[7985054]	[7985505]	[7985054]	[7985054]	[]	[]
1	11022654	11022708	ENST00000240185_1	54	+	11022654	11022708	0	1	54	0	ENST00000240185	54	+	TARDBP		11013727	-9.242810592376602	-9.242810592376602	-24.438200283050538	8.997999846935272	5.221104643840315	1	2838						1	0							1:11022654-11013727	[11022654]	[11025492]	[11022654]	[11022654]	[]	[]
1	12011565	12011682	ENST00000235329_1	117	+	12011565	12011682	0	1	117	0	ENST00000235329	117	+	MFN2		11989168	-22.33455977984272	-22.33455977984272	-35.39886679748694	-6.433099952340126	0.11722542418368789	3	1943						1	0							1:12011565-11989168	[12011565]	[12013508]	[12011565]	[12011565]	[]	[]
1	15428724	15428799	ENST00000375980_1	75	+	15428724	15428799	0	1	75	0	ENST00000375980	75	+	EFHD2		15409971	-19.400782033955625	-19.400782033955625	-29.59420065879822	6.070799970626831	0.6206309612313482	2	1615						1	0							1:15428724-15409971	[15428724]	[15430339]	[15428724]	[15428724]	[]	[]
1	15656633	15656642	ENST00000480945_1	9	+	15656633	15656642	0	1	9	0	ENST00000480945	9	+	DDI2		15617670	-3.6802826005479563	8.171000024546748	2.5771332422892255	-5.309033298492432	8.38197831744733	2	46	-20.837736776410324	-18.24088043926136	-6.278800129890442	4.313999915122986	0.8852272169830172	2	9208							1:15656633-15617670	[15656633]	[15656679]	[15656633, 15659836]	[15656633, 15669044]	[]	[]
1	19328643	19328658	ENST00000375153_1	15	+	19328643	19328658	0	1	15	0	ENST00000375153	15	+	SLC66A1		19317677	-18.719062172301076	-18.719062172301076	-6.300200271606445	5.357999761899312	-0.6691297231339933	1	657						1	0							1:19328643-19317677	[19328643]	[19329300]	[19328643]	[19328643]	[]	[]
1	22091517	22091589	ENST00000656825_1	72	+	22091517	22091589	0	1	72	0	ENST00000656825	72	+	CDC42		22078478	-18.199699327355177	-18.1513127546547	2.7542000889778135	4.521499931812286	0.5769611849955327	1	9843						1	0							1:22091517-22078478	[22091517]	[22101360]	[22091517]	[22091517]	[]	[]
1	23787376	23787415	ENST00000246151_1	39	+	23787376	23787415	0	1	39	0	ENST00000246151	39	+	PITHD1		23778515	-19.596100763237363	-19.596100763237363	-22.755399918556215	-6.958199870586395	1.929732472035641	2	856						1	0							1:23787376-23778515	[23787376]	[23788232]	[23787376]	[23787376]	[]	[]
1	24840937	24841015	ENST00000374379_1	78	+	24840937	24841015	0	1	78	0	ENST00000374379	78	+	CLIC4		24745553	-24.432062054039463	-23.72410653161669	-54.357865524291995	-3.990699926018715	0.7946403097031459	1	3384						1	0							1:24840937-24745553	[24840937]	[24844321]	[24840937]	[24840937]	[]	[]
1	25360705	25360906	ENST00000374358_1	201	+	25360705	25360906	0	1	201	0	ENST00000374358	201	+	TMEM50A		25340486	-22.76501870535062	-22.76501870535062	-10.826866761843364	-4.042699909210205	0.24549758475490932	1	1656						1	0							1:25360705-25340486	[25360705]	[25362361]	[25360705]	[25360705]	[]	[]
1	26170716	26170761	ENST00000374266_1	45	+	26170716	26170761	0	1	45	0	ENST00000374266	45	+	ZNF593		26169983	-24.375738883284246	-24.375738883284246	-24.967800267537434	-18.582100009918214	1.0906050959134854	2	157						1	0							1:26170716-26169983	[26170716]	[26170873]	[26170716]	[26170716]	[]	[]
1	26281123	26281231	ENST00000270792_1	108	+	26281123	26281231	0	1	108	0	ENST00000270792	108	+	SH3BGRL3		26280155	-17.37488383414092	-16.997120355416957	-13.856667057673137	-0.11519999504089355	1.7333709311491825	1	399						1	0							1:26281123-26280155	[26281123]	[26281522]	[26281123]	[26281123]	[]	[]
1	26780756	26780810	ENST00000324856_1	54	+	26780756	26780810	0	1	54	0	ENST00000324856	54	+	ARID1A		26696403	-5.095783628819711	-4.374703362617351	1.40579993724823	4.666999793052673	6.779324188206665	2	1348						1	0							1:26780756-26696403	[26780756]	[26782104]	[26780756]	[26780756]	[]	[]
1	26946181	26946202	ENST00000321265_1	21	+	26946181	26946202	0	1	21	0	ENST00000321265	21	+	NUDC		26921848	-17.122198434460294	-15.966556596130413	-20.16653302113215	-0.9070000648498535	0.2910429268182568	1	690						1	0							1:26946181-26921848	[26946181]	[26946871]	[26946181]	[26946181]	[]	[]
1	27822329	27822458	ENST00000373943_1	129	+	27822329	27822458	0	1	129	0	ENST00000373943	129	+	STX12		27773307	-18.794973429878223	-18.794973429878223	-19.04600019454956	-1.617249958217144	1.9253951668451936	3	2114						1	0							1:27822329-27773307	[27822329]	[27824443]	[27822329]	[27822329]	[]	[]
1	28280802	28280985	ENST00000253063_1	183	+	28280802	28280985	0	1	183	0	ENST00000253063	183	+	SESN2		28259847	-23.498482969371278	-23.438351176661396	-40.61700093746185	-0.7257000207901001	1.0231320303764146	1	1689						1	0							1:28280802-28259847	[28280802]	[28282491]	[28280802]	[28280802]	[]	[]
1	32195195	32195303	ENST00000373610_1	108	+	32195195	32195303	0	1	108	0	ENST00000373610	108	+	TXLNA		32180345	-21.40589865208954	-21.337183923229343	-17.131199995676678	-0.3892999172210693	1.0036466018375518	1	3090						1	0							1:32195195-32180345	[32195195]	[32198285]	[32195195]	[32195195]	[]	[]
1	32231196	32231238	ENST00000677711_1	42	+	32231196	32231238	0	1	42	0	ENST00000677711	42	+	EIF3I		32222441	-10.911189980506897	-9.889437958013778	-14.97440013885498	-0.5723999738693237	0.3374731479191205	1	408						1	0							1:32231196-32222441	[32231196]	[32231604]	[32231196]	[32231196]	[]	[]
1	32333044	32333152	ENST00000373548_1	108	+	32333044	32333152	0	1	108	0	ENST00000373548	108	+	HDAC1		32292169	-17.912718194533664	-17.912718194533664	-20.01506655216217	-2.9618000358343126	2.085438144610294	1	582						1	0							1:32333044-32292169	[32333044]	[32333626]	[32333044]	[32333044]	[]	[]
1	36304017	36304077	ENST00000354618_1	60	+	36304017	36304077	0	1	60	0	ENST00000354618	60	+	THRAP3		36282563	-13.560975424200297	-11.154527592308709	-18.71253348191579	0.2362999975681305	3.760932839479395	3	1340						1	0							1:36304017-36282563	[36304017]	[36305357]	[36304017]	[36304017]	[]	[]
1	37708366	37708396	ENST00000373055_1	30	+	37708366	37708396	0	1	30	0	ENST00000373055	30	+	CDCA8		37692690	-19.22257930199617	-19.22257930199617	-17.467533691724142	-2.871299982070923	0.2605384599103495	1	1353						1	0							1:37708366-37692690	[37708366]	[37709719]	[37708366]	[37708366]	[]	[]
1	39034496	39034526	ENST00000372969_1	30	+	39034496	39034526	0	1	30	0	ENST00000372969	30	+	NDUFS5		39028724	-23.63227748470146	-20.597067342836315	-17.401200151443483	-13.92749981880188	0.9606890845339463	3	119						1	0							1:39034496-39028724	[39034496]	[39034615]	[39034496]	[39034496]	[]	[]
1	40071533	40071632	ENST00000372805_1	99	+	40071533	40071632	0	1	99	0	ENST00000372805	99	+	CAP1		40059346	-15.337273396122798	-14.871984713040828	-1.2317997455596923	0.6288000226020813	2.7486756966462362	3	1115						1	0							1:40071533-40059346	[40071533]	[40072648]	[40071533]	[40071533]	[]	[]
1	40770828	40771101	ENST00000447388_1	273	+	40770828	40771101	0	1	273	0	ENST00000447388	273	+	NFYC		40738843	-18.597970091269733	-16.282209005480812	-4.4913334091504415	-3.4368000388145448	2.549425801024772	2	775						1	0							1:40770828-40738843	[40770828]	[40771603]	[40770828]	[40770828]	[]	[]
1	42667419	42676613	ENST00000304979_1	51	+	42667419	42676613	0	2	21,30	0,9164	ENST00000304979	9194	+	PPIH		42658446	-19.52829083131284	-18.670989755313006	-23.192599900563557	-7.282099986076355	1.6756836765265206	2	196						1	0							1:42667419-42658446	[42667419, 42676583]	[42667440, 42676758]	[42676583]	[42676583]	[]	[]
1	42701015	42701985	ENST00000321358_1	36	+	42701015	42701985	0	2	31,5	0,965	ENST00000321358	970	+	YBX1		42682565	-12.220702781436854	-11.517941597112287	-7.495399856567383	6.455499947071075	1.0610956479943328	3	1856						1	0							1:42701015-42682565	[42701015, 42701980]	[42701046, 42703805]	[42701980]	[42701980]	[]	[]
1	43363129	43363168	ENST00000310955_1	39	+	43363129	43363168	0	1	39	0	ENST00000310955	39	+	CDC20		43359215	-18.08437269016848	-18.08437269016848	-30.866533215840658	-5.081285749162946	1.5666351383300245	3	74						1	0							1:43363129-43359215	[43363129]	[43363203]	[43363129]	[43363129]	[]	[]
1	43978007	43978274	ENST00000472174_1	267	+	43978007	43978274	0	1	267	0	ENST00000472174	267	+	ATP6V0B		43975040	-19.421590245639283	-16.151145819574594	-11.118066438039143	-6.5849999487400055	2.3310243075021493	1	288						1	0							1:43978007-43975040	[43978007]	[43978295]	[43978007]	[43978007]	[]	[]
1	44220618	44220654	ENST00000372289_1	36	+	44220618	44220654	0	1	36	0	ENST00000372289	36	+	DMAP1		44213753	-17.955018220164558	-17.955018220164558	-21.94633394877116	-10.501899820566177	2.1334363895722412	2	55						1	0							1:44220618-44213753	[44220618]	[44220673]	[44220618]	[44220618]	[]	[]
1	44778685	44778712	ENST00000396651_1	27	+	44778685	44778712	0	1	27	0	ENST00000396651	27	+	RPS8		44775596	-20.386276628742827	-17.851648891225775	-13.201200306415558	-14.950199943780898	0.5209893540855735	2	94						1	0							1:44778685-44775596	[44778685]	[44778779]	[44778685]	[44778685]	[]	[]
1	45015498	45015528	ENST00000246337_1	30	+	45015498	45015528	0	1	30	0	ENST00000246337	30	+	UROD		45012265	-28.347311529246245	-19.939389423890546	-38.92066685358683	-17.393899619579315	1.7414026186353975	3	77						1	0							1:45015498-45012265	[45015498]	[45015575]	[45015498]	[45015498]	[]	[]
1	45618141	45618261	ENST00000350030_1	120	+	45618141	45618261	0	1	120	0	ENST00000350030	120	+	NASP		45584146	-25.90412944519472	-23.41329371141337	-16.335933049519856	-9.103200006484986	1.9374694175642984	3	752						1	0							1:45618141-45584146	[45618141]	[45618893]	[45618141]	[45618141]	[]	[]
1	46316584	46316722	ENST00000311672_1	138	+	46316584	46316722	0	1	138	0	ENST00000311672	138	+	UQCRH		46303766	-16.015343797082704	-16.015343797082704	-15.21999994913737	-7.936099934577942	1.4647031270408963	1	192						1	0							1:46316584-46303766	[46316584]	[46316776]	[46316584]	[46316584]	[]	[]
1	47376745	47376751	ENST00000371873_1	6	+	47376745	47376751	0	1	6	0	ENST00000371873	6	+	CMPK1		47333945	-21.962666693131982	-21.962666693131982	-5.827200031280517	6.405700075626373	1.8693020566295393	1	2094						1	0							1:47376745-47333945	[47376745]	[47378839]	[47376745]	[47376745]	[]	[]
1	52086758	52086854	ENST00000313334_1	96	+	52086758	52086854	0	1	96	0	ENST00000313334	96	+	BTF3L4		52059847	-20.367927543755094	-19.794193798479988	-23.013067086537678	1.7855999915860594	1.4523215393868383	2	3958						1	0							1:52086758-52059847	[52086758]	[52090716]	[52086758]	[52086758]	[]	[]
1	52416690	52416735	ENST00000257181_1	45	+	52416690	52416735	0	1	45	0	ENST00000257181	45	+	PRPF38A		52404749	-20.096788742262635	-20.096788742262635	-29.018599700927734	2.431999921798706	0.2894618558390762	1	4146						1	0							1:52416690-52404749	[52416690]	[52420836]	[52416690]	[52416690]	[]	[]
