chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	translated_frame_score	translated_max_score	translated_phylop	translated_window_max	untranslated_frame_score	untranslated_max_score	untranslated_phylop	untranslated_window_max	translated_length	untranslated_length	intron_start	intron_end	frame	translated_coords	intron_coords
1	23691832	23691958	ENST00000643754_1	126	+	23691832	23691958	0	1	126	0	ENST00000643754	126	-27.008746091926856	-27.008746091926856	0.2158809444055863	-16.609399938583373	-25.665056494523192	-25.665056494523192	-0.5186448215974406	-0.23989996910095215	126	656	23691829	23692611	1	1:23691832-23691958	1:23691829-23692611
1	75786277	75786529	ENST00000319942_1	252	+	75786277	75786529	0	1	252	0	ENST00000319942	252	-37.590218044226134	-30.848916695586272	-0.6872698457002462	-18.684799695014952	-22.09745922429074	-22.09745922429074	0.20942856919243372	3.174999992052714	252	970	75786274	75787496	1	1:75786277-75786529	1:75786274-75787496
1	110342273	110342279	ENST00000369784_1	6	+	110342273	110342279	0	1	6	0	ENST00000369784	6	-11.09499990940094	-2.7658333778381348	7.437333345413208		-21.627907585800052	-21.627907585800052	2.213638414322372	0.9981001019477844	6	3264	110342268	110345538	3	1:110342273-110342279	1:110342268-110345538
1	153990805	153990913	ENST00000651669_1	108	+	153990805	153990913	0	1	108	0	ENST00000651669	108	-25.54314808933823	-17.518444317910408	0.1794166674177783	-19.06719970703125	-8.111000061035156	11.267000198364258	9.018999894460043		108	3	153990802	153990913	1	1:153990805-153990913	1:153990802-153990913
1	154974808	154974829	ENST00000308987_1	21	+	154974808	154974829	0	1	21	0	ENST00000308987	21	-3.234999973859106	-3.234999973859106	2.7319523596337865		-19.75984058180796	-19.75984058180796	0.03853926904771968	6.834000110626221	21	3161	154974804	154977986	2	1:154974808-154974829	1:154974804-154977986
1	203861716	203861740	ENST00000414487_1	24	+	203861716	203861740	0	1	24	0	ENST00000414487	24	-16.603458384672802	-16.603458384672802	1.0422083182881277		-25.381875575538906	-21.075205337882498	-0.09038209532744426	-0.5385002042865381	24	458	203861713	203862195	1	1:203861716-203861740	1:203861713-203862195
1	219173986	219174124	ENST00000366928_1	138	+	219173986	219174124	0	1	138	0	ENST00000366928	138	-25.298297105923943	-25.298297105923943	-0.43892753504189674	-9.318100142478944	-25.644558001095405	-24.87053341223394	-0.05174109658030063	-0.8337143574442182	138	5027	219173981	219179146	3	1:219173986-219174124	1:219173981-219179146
1	224356996	224357041	ENST00000465271_1	45	+	224356996	224357041	0	1	45	0	ENST00000465271	45	-15.240355687671238	-12.628333298365275	1.148755561032643	-14.065300047397614	-18.875328651726253	-18.875328651726253	-0.12135037983031366	3.3919999599456787	45	3456	224356993	224360494	1	1:224356996-224357041	1:224356993-224360494
1	36149318	36149333	ENST00000373166_1	15	-	36149318	36149333	0	1	15	0	ENST00000373166	15	-28.81339995066325	-13.026533381144207	2.235333364705245		-17.64243398497292	-17.030807331654064	-0.08499600653027758	6.894000053405762	15	9155	36140166	36149336	3	1:36149318-36149333	1:36140166-36149336
1	165768652	165768676	ENST00000367881_1	24	-	165768652	165768676	0	1	24	0	ENST00000367881	24	-22.60937476158142	-19.128083924452465	-0.3425833366151589		-25.377551653662447	-25.3718660674874	-0.09157473962488777	-10.555900037288666	24	388	165768269	165768681	3	1:165768652-165768676	1:165768269-165768681
1	175023267	175023360	ENST00000476371_1	93	-	175023267	175023360	0	1	93	0	ENST00000476371	93	-32.70363460817644	-28.052139820591098	-0.37131111110793424	-24.71010026931763	-15.587620523929836	-15.473801126577085	-0.11316717483677029	1.204999993244807	93	4694	175018576	175023363	3	1:175023267-175023360	1:175018576-175023363
10	73782204	73782297	ENST00000372833_1	93	+	73782204	73782297	0	1	93	0	ENST00000372833	93	-20.758247387024664	-20.758247387024664	0.43936558741755705	-14.91829980611801	-34.376499870916206	-18.62579984391729	2.2179333611701924	-34.376499870916206	93	30	73782199	73782322	3	10:73782204-73782297	10:73782199-73782322
