chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_proportion_positive	translated_probability_space	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_proportion_positive	untranslated_probability_space	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	cds_matched_frame_score	cds_proportion_positive	cds_probability_space	cds_max_frame_score	cds_start_region_score	cds_window_max_score	cds_phylop_mean	cds_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends	cds_block_starts	cds_block_ends
1	2228418	2228766	ENST00000378536	348	+	2228418	2228766	0	1	348	0	ENST00000378536	348	+	SKI		2228766	5.0779755569131275	0.6637931034482759	NaN	5.0779755569131275	NaN	NaN	4.442166670792918		348	1.5535999631881714	0.54	NaN	1.5535999631881714	-2.645000022649765	4.694666584332784	4.283960002362728		100									1:2228418-2228766	[2228418]	[2228766]	[2228318]	[2228418]	[]	[]
1	3775310	3775373	ENST00000642557	63	+	3775310	3775373	0	1	63	0	ENST00000642557	63	+	SMIM1		3775373	-18.918237947282336	0.14285714285714285	-inf	-18.918237947282336	-13.387599754333497	-8.648199820518494	-0.8954285673560605		63	-17.564076108803526	0.19883040935672514	-inf	-17.564076108803526	-12.39620012640953	-6.174966744581858	-0.6571520548858489		171									1:3775310-3775373	[3775310]	[3775373]	[3772748, 3773062, 3775298]	[3772788, 3773181, 3775310]	[]	[]
1	6244178	6244365	ENST00000377898	78	+	6244178	6244365	0	2	63,15	0,172	ENST00000377898	187	+	HES3		6244365	-2.5631153537676883	0.5	-inf	-2.5631153537676883	-38.30039939880371	16.84589982032776	2.597076933592176		78																		1:6244178-6244365	[6244178, 6244350]	[6244241, 6244365]	[]	[]	[]	[]
1	10450034	10450223	ENST00000377049	189	+	10450034	10450223	0	1	189	0	ENST00000377049	189	+	CORT		10450223	-24.923016475727323	0.1111111111111111	NaN	-24.923016475727323	-30.14199908574422	-5.547099947929382	0.2409735429519541		189	4.805499792098999	0.25	19.221999168395996	4.805499792098999			4.177749991416931		4									1:10450034-10450223	[10450034]	[10450223]	[10450030]	[10450034]	[]	[]
1	11934734	11934779	ENST00000196061	45	+	11934734	11934779	0	1	45	0	ENST00000196061	45	+	PLOD1		11934779	-31.722999827067056	0.0	-inf	-31.722999827067056	-38.547199440002444	-24.250600147247315	-0.18395555051974952		45	-7.278833289941152	0.3333333333333333	-131.01899921894073	-7.278833289941152	-9.542599940299988		2.980833374791675		18									1:11934734-11934779	[11934734]	[11934779]	[11934716]	[11934734]	[]	[]
1	15764660	15764983	ENST00000375766	45	+	15764660	15764983	0	2	25,20	0,303	ENST00000375766	323	+	FBLIM1		15764983	-25.53444487022029	0.2	-inf	-25.53444487022029	-22.411600875854493	-22.569633671144643	0.16155556274784935		45	-19.116958820356746	0.273972602739726	-inf	-19.116958820356746	-27.536999893188476	-0.10239996910095214	0.027872143335083338		219									1:15764660-15764983	[15764660, 15764963]	[15764685, 15764983]	[15758794, 15764495]	[15758848, 15764660]	[]	[]
1	18631540	18631603	ENST00000420770	63	+	18631540	18631603	0	1	63	0	ENST00000420770	63	+	PAX7		18631603	-4.235809418417158	0.5238095238095238	-266.855993360281	-4.235809418417158	-0.6922002017498017	0.13690019249916077	2.340904765422382		63	-13.224695405702898	0.21151079136690648	NaN	-13.224695405702898	-10.142600107192994	-0.5597000122070312	1.2391652159001407		695									1:18631540-18631603	[18631540]	[18631603]	[18630845]	[18631540]	[]	[]
1	23019509	23019596	ENST00000400181	87	+	23019509	23019596	0	1	87	0	ENST00000400181	87	+	KDM1A		23019596	-10.573689436090403	0.41379310344827586	-inf	-10.573689436090403	-34.58099918365478	13.902599906921386	1.7985287377043446		87	-20.9095002583095	0.21428571428571427	-inf	-20.9095002583095	-3.6826001167297364	-14.996700286865234	0.20202380184838103		42									1:23019509-23019596	[23019509]	[23019596]	[23019467]	[23019509]	[]	[]
1	23778479	23778515	ENST00000246151	36	+	23778479	23778515	0	1	36	0	ENST00000246151	36	+	PITHD1		23778515	-13.7192502617836	0.25	-493.8930094242096	-13.7192502617836	-22.372200393676756	-10.729900145530701	0.028888856578204367		36	-18.238452569493706	0.0967741935483871	NaN	-18.238452569493706	-6.197199916839599	-6.918142795562744	0.15191937352140103		62									1:23778479-23778515	[23778479]	[23778515]	[23778417]	[23778479]	[]	[]
1	25617677	25617797	ENST00000374332	120	+	25617677	25617797	0	1	120	0	ENST00000374332	120	+	MAN1C1		25617797	-14.136849981546401	0.225	-inf	-14.136849981546401	-10.58060040473938	-5.151900148391723	0.3477083344012499		120	-6.45074130776263	0.3652762119503946	NaN	-6.45074130776263	-8.42779997587204	8.810299986600876	1.3910518613050187		887									1:25617677-25617797	[25617677]	[25617797]	[25616790]	[25617677]	[]	[]
