chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	strand_right	gene_name	cds_frame	cds_start_pos	translated_matched_frame_score	translated_max_frame_score	translated_start_region_score	translated_window_max_score	translated_phylop_mean	translated_frame	translated_length	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_frame	untranslated_length	cds_matched_frame_score	cds_max_frame_score	cds_start_region_score	cds_window_max_score	cds_phylop_mean	cds_length	genome_coords	translated_block_starts	translated_block_ends	untranslated_block_starts	untranslated_block_ends	cds_block_starts	cds_block_ends
1	3707560	3733079	ENST00000378290	1713	+	3707560	3733079	0	11	231,187,116,110,143,89,122,149,139,94,333	0,14460,15793,19554,20067,20568,21766,22439,23366,23902,25186	ENST00000378290	25519	+	TP73	0	3707575	19.253799772262575	19.253799772262575	19.253799772262575		4.094666675726573	0	15	-10.523924529411882	-10.523924529411882	-14.708666149775187	-6.92336688041687	-0.0188018939203038	0	106	22.27747763595703	22.27747763595703	9.749800205230713	47.31639976501465	4.273328618050426	1698	1:3707560-3707575	[3707560]	[3707575]	[3698057, 3707548]	[3698151, 3707560]	[3707575, 3722020, 3723353, 3727114, 3727627, 3728128, 3729326, 3729999, 3730926, 3731462, 3732746]	[3707791, 3722207, 3723469, 3727224, 3727770, 3728217, 3729448, 3730148, 3731065, 3731556, 3733079]
1	7777159	7779645	ENST00000470357	231	+	7777159	7779645	0	3	159,52,20	0,958,2466	ENST00000470357	2486	+	VAMP3	0	7777171	18.07474994659424	18.07474994659424			7.300666729609172	0	12	-11.783941052004185	-11.783941052004185	NaN	30.42760000228882	0.5157890955504792	0	562	29.57073963287214	29.57073963287214	26.632799911499024	53.50419998168945	5.545808217636539	219	1:7777159-7777171	[7777159]	[7777171]	[7772706, 7773441, 7777159]	[7773198, 7773511, 7777159]	[7777171, 7778117, 7779625]	[7777318, 7778169, 7779645]
1	15526914	15568177	ENST00000616884	2226	+	15526914	15568177	0	14	44,67,340,185,105,159,131,184,183,77,81,99,171,400	0,7322,9560,17484,19852,21355,32611,35227,37014,37368,39004,39167,40184,40863	ENST00000616884	41263	+	DNAJC16	0	15548341	24.5677453435655	24.5677453435655	1.4717333376407624	43.039599323272704	4.659769982102111	0	813	-18.591882458285372	-18.591882458285372	-10.775800566375256	-4.473100152611733	1.7575784282868399	0	102	23.1128046964226	23.1128046964226	17.208000326156615	50.476799964904785	4.390598735352468	1413	1:15526914-15548341	[15526914, 15534236, 15536474, 15544398, 15546766, 15548269]	[15526958, 15534303, 15536814, 15544583, 15546871, 15548341]	[15526812, 15548269]	[15526914, 15548269]	[15548341, 15559525, 15562141, 15563928, 15564282, 15565918, 15566081, 15567098, 15567777]	[15548428, 15559656, 15562325, 15564111, 15564359, 15565999, 15566180, 15567269, 15568177]
1	23793717	23794732	ENST00000374501	507	+	23793717	23794732	0	6	35,71,74,102,174,51	0,142,345,506,709,964	ENST00000374501	1015	+	LYPLA2	0	23793729	16.902750253677368	16.902750253677368			7.056916477779548	0	12	-15.888753843307494	-15.888753843307494	-15.313266976674397	-9.611399817466737	1.594538451043459	0	65	20.69855969542205	20.69855969542205	15.721199989318848	31.490400075912476	6.433402006768367	495	1:23793717-23793729	[23793717]	[23793729]	[23793652]	[23793717]	[23793729, 23793859, 23794062, 23794223, 23794426, 23794681]	[23793752, 23793930, 23794136, 23794325, 23794600, 23794732]
1	24440177	24469185	ENST00000003912	1122	+	24440177	24469185	0	10	63,172,60,146,97,136,89,64,95,200	0,1877,5007,9303,13230,15960,18710,20303,23848,28808	ENST00000003912	29008	+	NIPAL3	0	24442138	22.412592032734228	22.412592032734228	31.14280014038086	37.65670051574707	5.807918435836933	0	147	-13.210762344025285	-13.210762344025285	-15.74153341849645	16.04640007019043	0.9765228898076728	0	568	23.10253023832272	23.10253023832272	21.764400148391722	45.05260028839111	5.187935382250028	975	1:24440177-24442138	[24440177, 24442054]	[24440240, 24442138]	[24415802, 24419290, 24433103, 24440171, 24442054]	[24415904, 24419640, 24433213, 24440177, 24442054]	[24442138, 24445184, 24449480, 24453407, 24456137, 24458887, 24460480, 24464025, 24468985]	[24442226, 24445244, 24449626, 24453504, 24456273, 24458976, 24460544, 24464120, 24469185]
1	27843188	27850446	ENST00000236412	561	+	27843188	27850446	0	3	142,65,354	0,3839,6904	ENST00000236412	7258	+	PPP1R8	0	27847062	17.404231581310768	17.404231581310768	14.807200050354004	27.068699836730957	7.2806441098830454	0	177	-6.7425330695243195	-6.7425330695243195	-1.4715333620707194	18.08189992904663	3.716871606502362	0	771	20.46075790427858	20.46075790427858	35.44300003051758	33.93730040192604	6.111510397042973	384	1:27843188-27847062	[27843188, 27847027]	[27843330, 27847062]	[27830813, 27832755, 27838698, 27843185, 27847027]	[27831366, 27832816, 27838852, 27843188, 27847027]	[27847062, 27850092]	[27847092, 27850446]
1	28738317	28768952	ENST00000541996	1629	+	28738317	28768952	0	3	21,1584,24	0,4085,30611	ENST00000541996	30635	+	YTHDF2	0	28742420	14.235692278696941	14.235692278696941	19.137800025939942	19.25479995906353	6.673846114713412	0	39	2.1984682590997173	2.1984682590997173	7.126066652933757	23.10560007095337	5.678183506155729	0	267	9.587973619632	9.587973619632	14.252199935913087	23.19319983124733	7.074879857655849	1590	1:28738317-28742420	[28738317, 28742402]	[28738338, 28742420]	[28736939, 28738258, 28742402]	[28737147, 28738317, 28742402]	[28742420, 28768928]	[28743986, 28768952]
1	37808543	37809073	ENST00000373043	285	+	37808543	37809073	0	2	189,96	0,434	ENST00000373043	530	+	C1orf122	0	37808684	10.709340546993499	10.709340546993499	16.32760033607483	18.234100246429442	6.634872359164218	0	141	-8.344018532338138	-8.344018532338138	-37.506799411773684	22.779599952697755	2.604141842253646	0	1565	9.906541638076305	9.906541638076305	15.145399951934815	18.775000143051148	4.6766180476616785	144	1:37808543-37808684	[37808543]	[37808684]	[37806978]	[37808543]	[37808684, 37808977]	[37808732, 37809073]
1	40406764	40422101	ENST00000539317	1158	+	40406764	40422101	0	9	105,86,79,87,82,110,166,317,126	0,1888,2992,6251,7394,8507,9411,10015,15211	ENST00000539317	15337	+	SMAP2	0	40408655	15.367638770076963	15.367638770076963	15.833199977874756	19.52419981956482	7.344879608950578	0	108	-10.843949993451437	-10.843949993451437	-29.247733243306477	20.73903331756592	2.1344083169009536	0	120	15.01140571870974	15.01140571870974	18.276600074768066	31.429100131988527	6.20092950840525	1050	1:40406764-40408655	[40406764, 40408652]	[40406869, 40408655]	[40396799, 40406735, 40408652]	[40396890, 40406764, 40408652]	[40408655, 40409756, 40413015, 40414158, 40415271, 40416175, 40416779, 40421975]	[40408738, 40409835, 40413102, 40414240, 40415381, 40416341, 40417096, 40422101]
1	40991245	41010245	ENST00000696070	1140	+	40991245	41010245	0	13	3,81,152,133,89,95,63,44,97,56,97,145,85	0,519,4671,6148,9783,10914,11868,14805,16203,17413,17548,18199,18915	ENST00000696070	19000	+	CTPS1	0	40991818	25.168104962298745	25.168104962298745	20.21800003051758	31.577299451828004	5.877298265368792	0	57	5.052480690754377	5.052480690754377	-32.368799686431885	40.02919940948486	3.4114551770982917	0	156	24.559097940791897	24.559097940791897	30.696600341796874	43.791700553894046	6.236728530703069	1083	1:40991245-40991818	[40991245, 40991764]	[40991248, 40991818]	[40979754, 40991164, 40991764]	[40979829, 40991245, 40991764]	[40991818, 40995916, 40997393, 41001028, 41002159, 41003113, 41006050, 41007448, 41008658, 41008793, 41009444, 41010160]	[40991845, 40996068, 40997526, 41001117, 41002254, 41003176, 41006094, 41007545, 41008714, 41008890, 41009589, 41010245]
